,listing_name,price,depreciation,reg_date,eng_cap,mileage,veh_type
146,Mercedes-Benz CLA-Class CLA180,"$86,888","$19,000 /yr",25-Jul-2016,"1,595 cc","120,000 km",Luxury
147,Mercedes-Benz E-Class E200K Avantgarde (COE till 06/2026),"$40,800","$10,680 /yr",29-Dec-2006,"1,796 cc",-,Luxury
148,Honda Fit 1.3A G (COE till 03/2024),"$16,800","$10,680 /yr",11-Apr-2009,"1,339 cc","153,000 km",Hatchback
149,Mercedes-Benz 200E (COE till 10/2029),"$93,000","$12,990 /yr",18-Jun-1981,"1,997 cc",-,Luxury
150,Mercedes-Benz GLA-Class GLA180 Urban Edition,"$142,800","$17,270 /yr",13-Feb-2020,"1,595 cc","33,000 km",SUV
151,Nissan NV350 2.5M,"$51,800","$10,310 /yr",13-Sep-2017,"2,488 cc","121,885 km",Van
152,Hyundai Accent 1.4A,"$77,850","$11,770 /yr",05-Dec-2018,"1,368 cc","50,785 km",Sedan
153,Audi A3 Sportback 1.8A TFSI (COE till 06/2031),"$99,888","$11,320 /yr",07-Jul-2011,"1,798 cc","114,644 km",Hatchback
154,Nissan Latio 1.5A Sports (COE till 11/2028),"$58,888","$9,470 /yr",21-Nov-2008,"1,498 cc","41,669 km",Hatchback
155,Jaguar XE 2.0A Prestige,"$114,800","$15,800 /yr",24-Jul-2018,"1,998 cc","76,651 km",Luxury
156,Mercedes-Benz A-Class A200 AMG Line,"$151,800","$18,120 /yr",31-Dec-2019,"1,333 cc","43,538 km",Hatchback
157,BMW 3 Series 320i Convertible (COE till 03/2031),"$93,888","$11,000 /yr",18-Mar-2011,"1,995 cc","125,000 km",Sports
158,Honda Civic Type R 2.0M Turbo,"$174,800","$25,790 /yr",28-Jun-2018,"1,996 cc","60,000 km",Sports
159,Honda Shuttle Hybrid 1.5A,"$86,800","$13,630 /yr",24-Jul-2018,"1,496 cc","40,000 km",Stationwagon
160,Volkswagen Scirocco GP 1.4A TSI,"$66,800","$14,990 /yr",27-Jun-2016,"1,390 cc",-,Sports
161,Subaru Forester 2.0i-L Sunroof,"$71,800","$14,600 /yr",20-Jan-2017,"1,995 cc","101,000 km",SUV
162,Audi A4 2.0A TFSI S-tronic,"$150,888","$17,380 /yr",24-Mar-2020,"1,984 cc","42,000 km",Luxury
163,Jaguar XE Diesel 2.0A Prestige,"$78,787","$16,670 /yr",22-Mar-2016,"1,999 cc","123,123 km",Luxury
164,Rolls-Royce Ghost EWB,"$680,000","$853,420 /yr",01-Apr-2013,"6,592 cc","16,500 km",Luxury
165,Toyota Hiace Commuter 2.8A GL High Roof,"$98,800","$10,060 /yr",27-Jun-2022,"2,754 cc",-,Bus
166,Honda Vezel 1.5A X Honda Sensing,"$92,800","$12,870 /yr",18-Apr-2019,"1,496 cc","76,100 km",SUV
167,Audi Q4 E-tron Electric 40 Edition 1,"$268,988",N.A,N.A.,-,100 km,SUV
168,BMW X5 xDrive35i 7-Seater,"$133,500","$27,480 /yr",16-Dec-2015,"2,979 cc","85,000 km",SUV
169,Audi A4 2.0A TFSI S-tronic,"$147,800","$17,910 /yr",31-Oct-2019,"1,984 cc",-,Luxury
170,Volkswagen Scirocco GP 1.4A TSI Sunroof,"$79,888","$15,330 /yr",27-Feb-2017,"1,390 cc","76,000 km",Sports
171,Mercedes-Benz B-Class B200,"$19,888",N.A,25-Sep-2012,"1,595 cc","120,000 km",Hatchback
172,SEAT Leon 1.2A TSI Style Plus,"$75,888","$13,780 /yr",28-Sep-2017,"1,197 cc","94,120 km",Hatchback
173,Audi Q7 3.6A FSI Quattro S-Line (COE till 01/2030),"$105,600","$14,300 /yr",22-Jan-2010,"3,597 cc","148,000 km",SUV
174,Lexus IS Turbo IS200t Executive,"$113,800","$18,980 /yr",19-Jun-2017,"1,998 cc","58,000 km",Luxury
175,Mercedes Benz C-Class C180 Coupe (New 10-yr COE),"$103,800","$10,370 /yr",19-Oct-2012,"1,595 cc",-,Sports
176,Mercedes-Benz 350SL,"$85,000",N.A,N.A.,"3,499 cc",-,Sports
177,Mercedes-Benz GLB-Class GLB200 AMG Line,"$197,888","$20,680 /yr",09-Apr-2021,"1,332 cc","16,200 km",SUV
178,Lexus IS250 (COE till 01/2030),"$75,888","$10,250 /yr",29-Jan-2010,"2,500 cc","140,000 km",Luxury
179,Mercedes-Benz E-Class E200 CGI Coupe (COE till 05/2031),"$106,800","$12,220 /yr",15-Jun-2011,"1,796 cc","132,000 km",Sports
180,Mitsubishi Evolution 10 GSR SST (COE till 07/2031),"$189,000","$21,210 /yr",27-Sep-2011,"1,998 cc","150,000 km",Sports
